"sex","la","year","e50","e65","e80","e85"
"female","E06000012",2002,78.0577,80.3484,84.5214,86.9943
"female","E06000012",2003,78.1991,80.0382,84.3168,87.0994
"female","E06000012",2004,77.627,79.963,84.4147,87.0375
"female","E06000012",2005,76.8629,79.6965,84.4684,86.9533
"female","E06000012",2006,76.9526,79.7267,84.4108,86.7
"female","E06000012",2007,77.69,80.3067,84.4724,86.8012
"female","E06000012",2008,77.6704,79.5352,84.7468,86.9826
"female","E06000012",2009,78.1287,80.4801,84.8648,87.1587
"female","E06000012",2010,77.6083,80.2315,84.4686,86.8516
"female","E06000012",2011,76.8375,79.7516,84.9011,86.9484
"female","E06000012",2012,77.5464,80.1332,84.8603,87.1437
"female","E06000012",2013,77.2218,79.9961,84.745,87.0701
"female","E06000013",2001,NA,NA,NA,NA
"female","E06000013",2002,77.2007,79.4026,84.2308,86.7943
"female","E06000013",2003,77.9875,80.0709,84.6426,87.302
"female","E06000013",2004,77.7102,80.1025,84.5782,86.9195
"female","E06000013",2005,77.6672,80.125,84.2484,86.9034
"female","E06000013",2006,76.8939,79.7407,84.5132,86.7244
"female","E06000013",2007,77.6987,80.1639,84.3491,86.7727
"female","E06000013",2008,77.0491,79.7894,84.6953,86.933
"female","E06000013",2009,76.9196,80.0206,84.7215,87.1988
"female","E06000013",2010,77.1119,80.0754,84.6484,87.1161
"female","E06000013",2011,77.3164,79.942,84.8114,86.7341
"female","E06000013",2012,77.2885,79.7609,84.8726,87.0057
"female","E06000013",2013,77.6041,80.0916,84.7418,86.9257
"female","E06000014",2001,NA,NA,NA,NA
"female","E06000014",2002,78.514,80.429,84.772,87.1658
"female","E06000014",2003,78.508,80.239,84.4524,86.911
"female","E06000014",2004,77.8302,79.8244,84.3009,87.1667
"female","E06000014",2005,78.6223,80.5557,84.538,86.9657
"female","E06000014",2006,77.8532,80.0527,84.3497,86.8235
"female","E06000014",2007,77.9825,80.4122,84.6877,86.8571
"female","E06000014",2008,78.706,80.8935,84.6423,86.9688
"female","E06000014",2009,78.6641,80.6567,84.9472,87.2212
"female","E06000014",2010,79.0857,80.9855,85.1165,87.0569
"female","E06000014",2011,78.3524,80.8304,84.8989,87.034
"female","E06000014",2012,77.5289,80.3547,84.7554,86.7622
"female","E06000014",2013,78.5954,80.929,85.0737,87.0526
"female","E06000015",2001,NA,NA,NA,NA
"female","E06000015",2002,77.4013,79.7295,84.391,86.9913
"female","E06000015",2003,77.6576,79.9579,84.1926,87.1691
"female","E06000015",2004,77.7029,79.9543,84.5685,87.0872
"female","E06000015",2005,77.4592,79.8451,84.431,86.9223
"female","E06000015",2006,77.9265,80.1126,84.6629,86.9054
"female","E06000015",2007,77.6416,80.3362,84.4419,86.7674
"female","E06000015",2008,78.2063,80.784,84.8467,86.8745
"female","E06000015",2009,77.8501,80.5959,84.8128,87
"female","E06000015",2010,77.9126,80.3276,84.8109,87.0877
"female","E06000015",2011,77.4008,80.473,84.8,86.986
"female","E06000015",2012,77.9579,80.4455,84.7923,87.0326
"female","E06000015",2013,77.8299,80.4017,84.7016,87.0667
"female","E06000016",2001,NA,NA,NA,NA
"female","E06000016",2002,77.7984,80.1405,84.6723,87.1538
"female","E06000016",2003,77.0407,79.7633,84.5455,87.0114
"female","E06000016",2004,77.4024,79.8968,84.4981,87.0558
"female","E06000016",2005,77.2793,79.9158,84.3273,86.7575
