"ons_code","year","region","class","adults_65_pc","adults_us6_learning_pc","adults_u65_mental_pc","adults_u65_other_pc","adults_u65_physical_pc","adults_u65_social_care_pc"
"E06000047",2009,"NE","UA",1523.84,199.349,33.7405,10.3179,53.4998,1.0028
"E06000047",2010,"NE","UA",1662.59,192.249,29.3429,8.71127,16.5564,0.856193
"E06000047",2011,"NE","UA",1344.75,174.51,30.1561,6.70643,43.5332,0.699943
"E06000047",2012,"NE","UA",1289.42,186.154,31.0337,7.12043,40.7868,0.480718
"E06000047",2013,"NE","UA",1193.53,177.713,31.4136,7.01806,38.799,0.705958
"E06000049",2009,"NW","UA",1196.73,262.819,45.7881,19.9687,40.4702,1.38033
"E06000049",2010,"NW","UA",1325.3,222.691,43.953,1.9442,34.5403,1.67865
"E06000049",2011,"NW","UA",1275.4,196.656,69.6579,1.50773,39.3591,1.25179
"E06000049",2012,"NW","UA",1050.69,223.045,47.4391,7.26919,26.6291,0.655797
"E06000049",2013,"NW","UA",835.051,181.065,40.9473,0,19.8175,3.56844
"E06000050",2009,"NW","UA",1356.17,131.523,33.6117,0.405539,57.8053,5.89632
"E06000050",2010,"NW","UA",1187.51,194.282,32.4822,0,56.0181,0
"E06000050",2011,"NW","UA",991.236,195.33,32.9346,2.9636,64.7406,0
"E06000050",2012,"NW","UA",871.413,191.785,28.7568,9.60437,48.2777,1.10013
"E06000050",2013,"NW","UA",820.756,192.632,39.1597,14.0208,48.6815,3.56367
"E06000051",2009,"WM","UA",919.511,162.851,36.0712,10.672,57.9791,1.64369
"E06000051",2010,"WM","UA",932.858,169.802,40.5253,8.2558,57.5686,1.59507
"E06000051",2011,"WM","UA",868.743,164.164,38.6389,9.09924,51.5242,1.53274
"E06000051",2012,"WM","UA",837.135,185.164,29.517,11.1374,53.3352,10.3855
"E06000051",2013,"WM","UA",777.819,196.838,32.1397,12.5038,52.6756,12.5713
"E06000052",2009,"SW","UA",787.686,251.205,30.871,5.40017,53.4409,0.931183
"E06000052",2010,"SW","UA",723.32,251.344,28.4409,5.36054,69.6296,0.871468
"E06000052",2011,"SW","UA",698.315,269.145,26.9162,3.91514,59.955,0.781043
"E06000052",2012,"SW","UA",754.627,267.828,28.7791,4.68132,91.2251,0.786225
"E06000052",2013,"SW","UA",694.697,249.443,30.553,5.89893,88.6431,0.870068
"E06000053",2009,"SW","UA",1656.49,52.3325,32.323,29.2446,7.69595,57.7196
"E06000053",2010,"SW","UA",2007.03,67.8577,40.8689,16.9644,0.771111,67.0866
"E06000053",2011,"SW","UA",1801.59,71.5236,70.7546,4.61443,0,128.435
"E06000053",2012,"SW","UA",1934.21,68.3465,2.27822,6.83465,0.759406,204.28
"E06000053",2013,"SW","UA",1913,67.8592,5.33724,17.5367,0,250.85
"E06000054",2009,"SW","UA",1061.33,161.132,31.2361,2.27639,50.7447,4.72552
"E06000054",2010,"SW","UA",999.506,159.643,31.9764,2.67094,48.2752,2.82057
"E06000054",2011,"SW","UA",942.942,156.934,33.1735,2.20497,48.4398,4.44657
"E06000054",2012,"SW","UA",898.962,168.825,35.5994,1.77074,50.5366,1.72004
"E06000054",2013,"SW","UA",841.536,187.049,36.2345,2.01243,53.5264,0.938181
"E06000055",2009,"EE","UA",1167.44,297.187,38.9316,5.70617,47.5249,3.64877
"E06000055",2010,"EE","UA",1222,290.939,41.5266,13.8642,51.966,6.91559
"E06000055",2011,"EE","UA",1212.72,272.215,38.7235,6.98593,56.1454,5.40603
"E06000055",2012,"EE","UA",1135.57,237.699,40.785,13.1762,48.8512,2.21715
"E06000055",2013,"EE","UA",1115.37,225.757,42.9154,12.3519,50.5381,1.96013
"E06000056",2009,"EE","UA",1138.14,240.557,29.3454,12.6558,45.2587,0
"E06000056",2010,"EE","UA",1030.34,224.572,26.5574,82.3482,11.6408,5.74287
"E06000056",2011,"EE","UA",1046.7,179.057,40.9455,15.3865,42.8778,8.5546
"E06000056",2012,"EE","UA",866.927,165.477,21.6215,77.675,53.9706,13.5006
"E06000056",2013,"EE","UA",871.471,168.536,23.6421,55.2044,30.1602,8.26291
"E06000057",2009,"NE","UA",1464.33,198.644,43.1958,11.0179,47.6086,3.62178
"E06000057",2010,"NE","UA",1330.52,190.835,39.105,11.1657,45.4151,3.66108
"E06000057",2011,"NE","UA",1263.73,189.764,43.21,12.1783,44.6539,4.29375
"E06000057",2012,"NE","UA",1143.65,185.224,42.0787,10.3525,42.3669,6.20387
"E06000057",2013,"NE","UA",1068.17,176.158,45.7045,9.06925,43.0287,4.81414
"E08000001",2009,"NW","MD",1273.94,164.06,45.9025,37.4927,63.0708,1.33603
"E08000001",2010,"NW","MD",1121.05,172.111,56.9707,31.5918,57.5795,1.21748
"E08000001",2011,"NW","MD",1241.57,161.809,43.4168,44.0115,42.8098,1.07914
"E08000001",2012,"NW","MD",1113.86,150.783,45.0098,48.6336,43.3643,0.901406
"E08000001",2013,"NW","MD",1119.59,162.163,40.7659,2.64729,46.0305,0.0720352
"E08000002",2009,"NW","MD",1274.89,167.567,42.1743,92.1802,53.0314,16.4676
"E08000002",2010,"NW","MD",1239.39,171.609,40.9579,90.2249,60.3551,14.837
"E08000002",2011,"NW","MD",1131.53,194.503,41.9483,79.0769,48.9947,14.9815
"E08000002",2012,"NW","MD",1112.34,189.79,41.3136,85.5854,54.7703,2.27756
"E08000002",2013,"NW","MD",1080.63,206.016,40.3017,80.6395,53.3811,4.36279
"E08000003",2009,"NW","MD",2047.05,143.215,78.0754,69.9366,141.505,51.3309
"E08000003",2010,"NW","MD",2148.09,206.043,77.0147,96.5125,67.3581,31.7211
"E08000003",2011,"NW","MD",1796.93,221.134,63.0538,77.1875,52.3011,32.3962
"E08000003",2012,"NW","MD",1725.88,221.426,57.4677,64.5339,44.2008,26.3823
"E08000003",2013,"NW","MD",1510.05,166.363,53.2132,49.3424,51.3768,11.4719
"E08000004",2009,"NW","MD",1521.65,159.032,54.4809,135.122,49.8038,1.84667
"E08000004",2010,"NW","MD",1329.36,159.218,73.7669,87.5219,68.7751,15.2746
"E08000004",2011,"NW","MD",1251.4,170.773,66.2752,34.3561,64.0535,1.39915
"E08000004",2012,"NW","MD",1153.54,154.481,57.9779,40.918,77.2026,1.64067
"E08000004",2013,"NW","MD",1098.7,166.03,53.2591,30.6043,77.4078,1.98174
"E08000005",2009,"NW","MD",1443.9,233.145,47.8109,13.6208,53.8963,12.4724
"E08000005",2010,"NW","MD",1410.86,228.603,48.5367,12.8923,39.6195,10.9745
"E08000005",2011,"NW","MD",1357.11,216.089,44.9835,6.57359,42.5284,10.3402
"E08000005",2012,"NW","MD",1160.87,208.169,44.0084,34.921,36.4924,3.69051
"E08000005",2013,"NW","MD",1039.08,191.643,43.0081,20.516,33.5295,0.787262
"E08000006",2009,"NW","MD",1452.87,214.463,81.0478,39.6767,88.3438,3.95139
"E08000006",2010,"NW","MD",1309.83,213.434,88.8613,39.5399,82.4021,2.77335
"E08000006",2011,"NW","MD",1220.33,192.611,70.5765,63.5203,65.2099,2.49982
"E08000006",2012,"NW","MD",1143.7,189.977,70.6399,62.1715,60.0172,2.55407
"E08000006",2013,"NW","MD",1035.56,188.989,75.9073,4.08455,54.7783,2.59199
