"ecode","ons_code","ons_region_name","start_year","children","adult","older"
"E1001","E06000015","East Midlands",2009,84,0,40882
"E1001","E06000015","East Midlands",2010,21,457,43668
"E1001","E06000015","East Midlands",2011,988,0,44129
"E1001","E06000015","East Midlands",2012,949,175,46313
"E1001","E06000015","East Midlands",2013,1452,230,42522
"E1021","E10000007","East Midlands",2008,251,192761,148561
"E1021","E10000007","East Midlands",2009,955,0,157963
"E1021","E10000007","East Midlands",2010,113,0,150157
"E1021","E10000007","East Midlands",2011,0,597,169708
"E1021","E10000007","East Midlands",2012,0,597,169448
"E1021","E10000007","East Midlands",2013,984,634,137853
"E1031","E07000032","East Midlands",2008,0,0,15
"E1031","E07000032","East Midlands",2009,0,0,6
"E1031","E07000032","East Midlands",2010,0,0,5
"E1031","E07000032","East Midlands",2011,0,0,4
"E1031","E07000032","East Midlands",2012,0,0,4
"E1031","E07000032","East Midlands",2013,0,0,0
"E1032","E07000033","East Midlands",2008,0,0,2
"E1032","E07000033","East Midlands",2009,0,0,2
"E1032","E07000033","East Midlands",2010,0,0,2
"E1032","E07000033","East Midlands",2011,0,0,2
"E1032","E07000033","East Midlands",2012,0,0,0
"E1032","E07000033","East Midlands",2013,0,0,0
"E1033","E07000034","East Midlands",2008,0,0,0
"E1033","E07000034","East Midlands",2009,0,0,0
"E1033","E07000034","East Midlands",2010,0,0,0
"E1033","E07000034","East Midlands",2011,0,0,0
"E1033","E07000034","East Midlands",2012,0,0,0
"E1033","E07000034","East Midlands",2013,0,0,0
"E1035","E07000035","East Midlands",2008,0,0,0
"E1035","E07000035","East Midlands",2009,0,0,0
"E1035","E07000035","East Midlands",2010,0,0,0
"E1035","E07000035","East Midlands",2011,0,0,0
"E1035","E07000035","East Midlands",2012,0,0,0
"E1035","E07000035","East Midlands",2013,0,0,0
"E1036","E07000036","East Midlands",2008,0,0,0
"E1036","E07000036","East Midlands",2009,0,0,0
"E1036","E07000036","East Midlands",2010,0,0,0
"E1036","E07000036","East Midlands",2011,0,0,0
"E1036","E07000036","East Midlands",2012,0,0,0
"E1036","E07000036","East Midlands",2013,0,0,0
"E1037","E07000037","East Midlands",2008,0,0,0
"E1037","E07000037","East Midlands",2009,0,0,0
"E1037","E07000037","East Midlands",2010,0,0,0
"E1037","E07000037","East Midlands",2011,0,0,0
"E1037","E07000037","East Midlands",2012,0,0,0
"E1037","E07000037","East Midlands",2013,0,0,0
"E1038","E07000038","East Midlands",2008,0,50,0
"E1038","E07000038","East Midlands",2009,0,0,0
"E1038","E07000038","East Midlands",2010,0,0,0
"E1038","E07000038","East Midlands",2011,0,0,0
"E1038","E07000038","East Midlands",2012,0,0,0
"E1038","E07000038","East Midlands",2013,0,0,0
"E1039","E07000039","East Midlands",2008,0,0,0
"E1039","E07000039","East Midlands",2009,0,0,0
"E1039","E07000039","East Midlands",2010,0,0,0
"E1039","E07000039","East Midlands",2011,0,0,0
"E1039","E07000039","East Midlands",2012,0,0,0
"E1039","E07000039","East Midlands",2013,0,0,0
"E1101","E06000026","South West",2008,244,76436,43557
"E1101","E06000026","South West",2009,291,55,44854
"E1101","E06000026","South West",2010,278,192,46206
"E1101","E06000026","South West",2011,10275,625,45987
"E1101","E06000026","South West",2012,530,82,45691
"E1101","E06000026","South West",2013,335,743,45881
"E1102","E06000027","South West",2008,80,38897,22747
"E1102","E06000027","South West",2009,80,256,23704
"E1102","E06000027","South West",2010,0,58,23728
"E1102","E06000027","South West",2011,7801,107,23705
"E1102","E06000027","South West",2012,544,125,22154
"E1102","E06000027","South West",2013,1756,118,21178
"E1121","E10000008","South West",2008,763,161723,148746
"E1121","E10000008","South West",2009,350,367,153016
"E1121","E10000008","South West",2010,1406,384,148655
"E1121","E10000008","South West",2011,14913,413,166048
"E1121","E10000008","South West",2012,2678,487,171105
"E1121","E10000008","South West",2013,2481,458,180425
"E1131","E07000040","South West",2008,0,0,0
"E1131","E07000040","South West",2009,0,0,0
"E1131","E07000040","South West",2010,0,0,0
"E1131","E07000040","South West",2011,0,0,0
"E1131","E07000040","South West",2012,0,0,0
"E1131","E07000040","South West",2013,0,0,0
"E1132","E07000041","South West",2008,0,0,0
"E1132","E07000041","South West",2009,0,0,0
"E1132","E07000041","South West",2010,0,0,0
"E1132","E07000041","South West",2011,0,0,0
"E1132","E07000041","South West",2012,0,0,0
"E1132","E07000041","South West",2013,0,0,0
"E1133","E07000042","South West",2008,0,0,0
"E1133","E07000042","South West",2009,0,0,0
"E1133","E07000042","South West",2010,0,0,0
"E1133","E07000042","South West",2011,0,0,0
"E1133","E07000042","South West",2012,0,0,0
"E1133","E07000042","South West",2013,0,0,0
"E1134","E07000043","South West",2008,0,0,0
"E1134","E07000043","South West",2009,0,0,0
"E1134","E07000043","South West",2010,0,0,0
"E1134","E07000043","South West",2011,0,0,0
"E1134","E07000043","South West",2012,0,0,0
"E1134","E07000043","South West",2013,0,0,0
"E1136","E07000044","South West",2008,0,0,0
"E1136","E07000044","South West",2009,0,0,0
"E1136","E07000044","South West",2010,0,0,0
"E1136","E07000044","South West",2011,0,0,0
"E1136","E07000044","South West",2012,0,0,0
"E1136","E07000044","South West",2013,0,0,0
"E1137","E07000045","South West",2008,0,0,0
"E1137","E07000045","South West",2009,0,0,0
"E1137","E07000045","South West",2010,0,0,0
"E1137","E07000045","South West",2011,0,0,0
"E1137","E07000045","South West",2012,0,0,0
"E1137","E07000045","South West",2013,0,0,0
"E1139","E07000046","South West",2008,0,0,0
"E1139","E07000046","South West",2009,0,0,0
"E1139","E07000046","South West",2010,0,0,0
"E1139","E07000046","South West",2011,0,0,0
"E1139","E07000046","South West",2012,0,0,0
"E1139","E07000046","South West",2013,0,0,0
"E1140","E07000047","South West",2008,0,0,0
"E1140","E07000047","South West",2009,0,0,0
"E1140","E07000047","South West",2010,0,0,0
"E1140","E07000047","South West",2011,0,0,0
"E1140","E07000047","South West",2012,0,0,0
"E1140","E07000047","South West",2013,0,0,0
"E1201","E06000029","South West",2008,48,27717,25747
"E1201","E06000029","South West",2009,51,86,27317
"E1201","E06000029","South West",2010,86,92,28894
"E1201","E06000029","South West",2011,3479,84,28445
"E1201","E06000029","South West",2012,42,90,28668
"E1201","E06000029","South West",2013,50,80,31274
"E1202","E06000028","South West",2008,27,46747,37712
"E1202","E06000028","South West",2009,23,25,36766
"E1202","E06000028","South West",2010,531,2356,35922
"E1202","E06000028","South West",2011,6406,2482,38530
"E1202","E06000028","South West",2012,295,38,49394
"E1202","E06000028","South West",2013,1082,27,41985
"E1221","E10000009","South West",2008,3198,106637,79016
"E1221","E10000009","South West",2009,1216,1925,83280
"E1221","E10000009","South West",2010,836,3314,86785
