"la","year","sex","s_35","s_50","s_65","s_80","s_85"
"E06000003",2013,"female",0.00425287,0.00450821,0.00734403,0.0273548,0.0491541
"E06000003",2013,"male",0.00431242,0.00561699,0.00491439,0.0208164,0.0477229
"E06000004",2002,"female",0.00412635,0.00478145,0.00606817,0.0245295,0.0760666
"E06000004",2002,"male",0.00293131,0.00317095,0.00575702,0.0260757,0.0621027
"E06000004",2003,"female",0.0041981,0.00462309,0.00758739,0.0278736,0.0849612
"E06000004",2003,"male",0.00381984,0.00376547,0.00415536,0.014785,0.0249892
"E06000004",2004,"female",0.00374641,0.00445019,0.00541276,0.0196349,0.0562195
"E06000004",2004,"male",0.00360792,0.00421059,0.00560409,0.0233997,0.0606219
"E06000004",2005,"female",0.00429835,0.0054751,0.00466139,0.0140314,0.0360719
"E06000004",2005,"male",0.00335104,0.00321344,0.00538952,0.019218,0.0607494
"E06000004",2006,"female",0.00414915,0.0041126,0.00589053,0.0174723,0.0598147
"E06000004",2006,"male",0.00380456,0.00352274,0.00554108,0.0248072,0.0737379
"E06000004",2007,"female",0.00451591,0.00650134,0.00761514,0.0178867,0.0444985
"E06000004",2007,"male",0.00292152,0.00369616,0.00662638,0.0197799,0.0623941
"E06000004",2008,"female",0.00468878,0.00522809,0.00809786,0.0242778,0.0710035
"E06000004",2008,"male",0.00329109,0.00373812,0.0052106,0.0155201,0.0408699
"E06000004",2009,"female",0.0033408,0.00427958,0.00669464,0.0209848,0.0662882
"E06000004",2009,"male",0.00370979,0.00399822,0.00597331,0.0191583,0.0602642
"E06000004",2010,"female",0.00370461,0.00415087,0.00737277,0.0145149,0.0474697
"E06000004",2010,"male",0.00407728,0.00452268,0.00544504,0.0201989,0.0523099
"E06000004",2011,"female",0.00374473,0.00412993,0.00615053,0.00976512,0.0180931
"E06000004",2011,"male",0.00431907,0.00414047,0.00622839,0.0141712,0.0441586
"E06000004",2012,"female",0.0043032,0.00490112,0.00618653,0.0169395,0.0443499
"E06000004",2012,"male",0.00362722,0.00443251,0.00547651,0.0160277,0.0454207
"E06000004",2013,"female",0.00337229,0.00398846,0.00569025,0.0153216,0.0398824
"E06000004",2013,"male",0.00312636,0.00311751,0.00664733,0.0236514,0.0722673
"E06000005",2002,"female",0.00447711,0.00633605,0.00713815,0.0183834,0.0330178
"E06000005",2002,"male",0.00386025,0.00392754,0.0082893,0.0274463,0.0707997
"E06000005",2003,"female",0.00415334,0.00560827,0.00959051,0.0344736,0.0582286
"E06000005",2003,"male",0.0035917,0.00467608,0.00741144,0.0310855,0.0941281
"E06000005",2004,"female",0.00479561,0.0063081,0.00645461,0.016494,0.0405127
"E06000005",2004,"male",0.00491103,0.00481384,0.0101246,0.0248394,0.0560274
"E06000005",2005,"female",0.00419858,0.00517179,0.0071071,0.0303897,0.0705778
"E06000005",2005,"male",0.0044624,0.00425063,0.0064418,0.0286398,0.0815416
"E06000005",2006,"female",0.00495338,0.00477195,0.0066001,0.0157333,0.0542854
"E06000005",2006,"male",0.00530607,0.0069392,0.011785,0.0544645,0.189524
"E06000005",2007,"female",0.00478228,0.00548417,0.00759838,0.013328,0.030699
"E06000005",2007,"male",0.00484739,0.00425938,0.00767302,0.0219939,0.0684096
"E06000005",2008,"female",0.00431064,0.0057167,0.00801876,0.0215601,0.0314222
"E06000005",2008,"male",0.00391707,0.00572413,0.0117994,0.0223919,0.0687434
"E06000005",2009,"female",0.00462376,0.00582922,0.00796192,0.0160604,0.0252773
"E06000005",2009,"male",0.00362434,0.00534782,0.00869196,0.0336762,0.0769922
"E06000005",2010,"female",0.00462533,0.00596923,0.00943385,0.0275669,0.0693485
"E06000005",2010,"male",0.00479791,0.00455709,0.00722584,0.024371,0.0505979
"E06000005",2011,"female",0.00367194,0.00446965,0.00767567,0.0271736,0.0488516
"E06000005",2011,"male",0.00419162,0.00563917,0.0115072,0.0181721,0.0459424
"E06000005",2012,"female",0.00437305,0.00628277,0.00913134,0.0319218,0.079322
"E06000005",2012,"male",0.00473754,0.00577112,0.00610125,0.0194711,0.0411896
"E06000005",2013,"female",0.00503338,0.00664718,0.00991912,0.0164506,0.0397627
"E06000005",2013,"male",0.00451509,0.00568862,0.00630023,0.0227818,0.071127
"E06000006",2002,"female",0.004305,0.0049891,0.00640541,0.0193791,0.0313028
"E06000006",2002,"male",0.00356208,0.00437397,0.00732435,0.0256436,0.0659237
"E06000006",2003,"female",0.00467236,0.00613856,0.00761594,0.0224037,0.0420141
"E06000006",2003,"male",0.0040975,0.00518623,0.00691055,0.0263949,0.0558902
"E06000006",2004,"female",0.00446149,0.00549304,0.00667507,0.0295131,0.0830735
"E06000006",2004,"male",0.00340961,0.00498546,0.00893509,0.0304433,0.102169
